iter	Passed	Remaining
0	11	6844
1	23	6887
2	24	4776
3	35	5300
4	36	4359
5	42	4214
6	54	4582
7	66	4891
8	78	5169
9	90	5328
10	102	5474
11	102	5036
12	114	5169
13	126	5284
14	150	5862
15	162	5932
16	174	5983
17	186	6036
18	198	6073
19	210	6095
20	223	6149
21	234	6153
22	245	6163
23	257	6174
24	268	6171
25	280	6184
26	291	6185
27	302	6183
28	313	6181
29	325	6178
30	336	6180
31	348	6178
32	359	6174
33	370	6167
34	382	6175
35	393	6169
36	405	6165
37	417	6170
38	428	6169
39	439	6159
40	450	6148
41	462	6150
42	473	6138
43	486	6143
44	499	6158
45	510	6149
46	522	6141
47	533	6131
48	545	6132
49	556	6120
50	567	6106
51	579	6105
52	590	6098
53	601	6083
54	613	6074
55	625	6073
56	637	6069
57	650	6080
58	665	6101
59	678	6106
60	691	6114
61	705	6120
62	717	6119
63	730	6118
64	742	6114
65	755	6109
66	787	6263
67	800	6265
68	813	6256
69	825	6251
70	837	6243
71	849	6232
72	861	6220
73	873	6210
74	885	6198
75	898	6194
76	913	6205
77	924	6187
78	938	6190
79	949	6173
80	962	6165
81	975	6161
82	987	6148
83	997	6129
84	1009	6117
85	1020	6101
86	1031	6084
87	1043	6069
88	1055	6060
89	1067	6048
90	1078	6034
91	1098	6067
92	1110	6053
93	1122	6041
94	1139	6057
95	1152	6048
96	1163	6034
97	1175	6023
98	1188	6013
99	1200	6004
100	1224	6047
101	1248	6096
102	1270	6132
103	1298	6191
104	1323	6237
105	1342	6255
106	1361	6271
107	1379	6284
108	1397	6293
109	1413	6294
110	1428	6291
111	1442	6286
112	1454	6267
113	1465	6247
114	1477	6229
115	1488	6211
116	1500	6192
117	1511	6173
118	1524	6163
119	1538	6154
120	1550	6136
121	1560	6115
122	1573	6103
123	1584	6084
124	1603	6095
125	1615	6077
126	1626	6058
127	1640	6049
128	1655	6044
129	1666	6024
130	1677	6004
131	1687	5984
132	1698	5965
133	1709	5944
134	1720	5925
135	1731	5906
136	1742	5888
137	1754	5872
138	1765	5856
139	1777	5839
140	1787	5820
141	1799	5802
142	1814	5800
143	1825	5781
144	1836	5763
145	1847	5743
146	1857	5724
147	1868	5705
148	1878	5686
149	1889	5668
150	1900	5650
151	1911	5632
152	1921	5614
153	1932	5596
154	1943	5579
155	1954	5561
156	1964	5542
157	1976	5529
158	1987	5512
159	1998	5496
160	2010	5481
161	2021	5465
162	2032	5449
163	2051	5454
164	2063	5439
165	2074	5423
166	2085	5408
167	2098	5397
168	2110	5382
169	2121	5366
170	2133	5351
171	2144	5335
172	2155	5320
173	2175	5325
174	2187	5312
175	2198	5296
